,44,28,105,13,71,7,46,48,19,41,14,67,103,17,61,102,108,75,73,60,68,79,121,23,42,115,52,122,1,72,24,81,90,112,43,84,47,77,101,83,113,120,70,110,69,66,114,76,63,45,106,10,78,6,5,94,109,40,34,32,50,25,100,18,20,111,107,30,49,88,26,9,104,33,22,62,123
2014-01-03 12:00:00,4,8,5,4,4,3,6,3,3,5,8,2,4,0,5,1,2,9,2,5,1,7,1,3,3,5,3,4,1,0,3,3,0,1,9,1,4,2,4,2,3,3,2,5,3,3,0,3,5,3,5,1,2,2,2,1,5,7,4,6,4,2,0,4,7,4,3,1,4,1,3,0,5,3,0,1,4
2014-01-03 16:00:00,6,3,4,4,3,3,7,4,2,6,7,4,6,0,2,4,7,5,4,0,1,2,2,3,2,4,5,1,1,2,6,0,2,0,4,4,5,3,3,4,6,6,0,4,1,3,1,2,2,4,4,0,1,2,5,0,1,4,3,5,3,5,1,4,2,3,2,3,2,2,1,1,4,2,0,2,0
2014-01-03 20:00:00,10,1,2,3,3,1,8,10,0,5,0,7,2,1,0,1,4,5,2,4,2,6,2,5,7,4,4,1,2,3,3,3,2,2,10,0,6,4,2,0,3,3,5,3,2,0,2,1,3,2,1,0,0,0,0,1,2,11,2,5,2,12,1,5,0,1,0,0,2,2,0,3,5,3,0,3,3
2014-01-04 00:00:00,9,1,4,4,2,0,5,2,4,0,2,2,4,1,1,1,5,4,7,1,0,3,0,3,1,6,3,0,1,6,0,1,1,0,5,1,3,2,0,3,3,3,6,0,0,4,5,0,1,3,1,1,1,5,0,1,2,5,1,4,0,4,0,4,0,0,0,1,2,0,0,3,2,1,0,1,0
2014-01-04 04:00:00,7,0,0,1,1,0,0,1,0,0,1,0,1,1,1,2,2,1,2,0,2,1,2,0,3,0,2,0,3,1,0,0,0,1,0,0,2,0,0,2,1,2,5,5,0,1,2,0,1,0,0,0,0,0,0,0,3,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,0
2014-01-04 08:00:00,3,2,3,1,3,0,3,3,1,2,4,2,6,0,5,0,2,5,2,0,0,5,3,2,2,1,0,1,2,1,2,1,3,0,4,1,3,2,0,2,2,2,2,0,3,0,3,2,0,2,0,1,0,0,1,0,3,3,0,3,0,3,0,3,1,2,1,1,1,1,0,1,2,1,0,1,4
2014-01-04 12:00:00,4,4,3,1,2,0,7,2,2,6,7,3,5,0,4,3,3,8,3,5,3,3,6,1,2,2,6,1,1,3,2,6,4,0,2,2,4,2,1,5,3,5,1,1,5,1,9,0,6,0,1,2,2,1,1,1,7,3,1,2,1,4,0,2,2,1,0,1,8,0,0,3,5,4,0,4,2
2014-01-04 16:00:00,9,3,4,4,3,1,4,3,5,4,10,2,5,2,4,1,1,8,5,0,2,3,4,7,3,3,9,1,2,3,1,2,3,2,7,2,3,6,2,4,0,1,7,3,4,3,2,1,7,3,2,1,2,2,3,1,2,1,6,6,1,2,2,9,0,1,1,2,4,2,1,2,11,1,0,1,2
2014-01-04 20:00:00,7,2,3,1,0,2,6,5,2,3,9,4,2,0,3,0,0,9,10,4,2,7,2,1,7,4,6,4,1,3,5,4,4,1,4,1,1,3,0,5,0,4,3,0,0,1,3,1,4,1,4,2,1,0,1,1,5,7,1,2,2,4,1,1,3,0,1,2,3,0,1,2,0,0,0,1,1
2014-01-05 00:00:00,5,0,4,2,1,6,4,0,2,1,0,6,5,6,1,3,1,3,3,1,3,1,2,4,4,4,5,1,1,2,0,4,5,1,3,1,6,5,1,0,2,1,0,5,1,3,4,0,3,2,2,3,0,5,1,1,1,4,3,2,0,2,3,1,1,1,1,4,1,1,5,8,8,0,0,0,1
2014-01-05 04:00:00,2,0,0,1,2,1,0,3,0,1,3,3,1,1,1,1,1,4,3,1,1,0,1,1,1,4,2,1,0,1,0,1,2,1,4,0,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,1,0,2,1,0,0,1,0,2,1,0,1,1,0,0,1,4,0,0,0,0
2014-01-05 08:00:00,3,0,1,0,0,0,2,2,1,0,3,6,1,2,2,2,1,6,1,2,1,1,1,3,2,2,1,0,1,1,0,2,2,2,5,1,1,1,1,3,0,2,1,0,0,0,0,1,0,1,3,0,0,1,8,0,2,2,1,1,1,0,0,4,1,1,0,1,4,2,1,0,2,3,0,0,0
